timestep	mean	median
100352	4.7	4.0
200704	8.4	8.0
301056	9.2	9.0
401408	9.8	10.0
501760	14.1	14.0
602112	17.1	18.0
702464	18.1	16.5
802816	22.7	23.0
903168	21.4	16.0
1003520	22.1	21.5
1103872	22.7	21.5
1204224	30.8	30.0
1304576	36.8	37.5
1404928	35.1	34.5
1505280	39.0	40.5
1605632	44.7	46.0
1705984	44.8	41.5
1806336	44.8	41.5
1906688	47.2	48.0
2007040	56.1	56.5
2107392	65.2	67.0
2207744	52.8	54.5
2308096	72.3	68.5
2408448	60.0	59.0
2508800	64.9	59.0
2609152	88.4	67.5
2709504	79.0	81.5
2809856	70.1	64.5
2910208	81.5	78.5
3010560	89.4	82.5
3110912	74.7	72.0
3211264	111.5	86.5
3311616	135.8	119.5
3411968	108.3	89.0
3512320	157.9	124.0
3612672	111.6	104.5
3713024	188.7	159.0
3813376	170.1	145.5
3913728	182.5	153.0
4014080	135.3	95.0
4114432	199.5	195.0
4214784	297.8	327.0
4315136	238.5	256.5
4415488	208.0	196.0
4515840	238.6	281.0
4616192	241.6	269.5
4716544	264.1	287.5
4816896	245.5	344.5
4917248	289.8	321.0
5017600	268.4	312.0
5117952	280.1	298.0
5218304	204.5	245.0
5318656	325.1	336.0
5419008	310.2	321.0
5519360	306.5	320.5
5619712	332.0	331.0
5720064	306.4	313.5
5820416	339.8	330.5
5920768	272.0	301.0
6021120	273.9	302.5
6121472	339.1	338.0
6221824	281.7	304.5
6322176	358.5	376.5
6422528	349.0	366.5
6522880	325.3	352.0
6623232	372.8	376.5
6723584	254.1	235.0
6823936	371.8	384.0
6924288	265.2	280.0
7024640	342.7	373.0
7124992	307.7	334.5
7225344	378.8	390.5
7325696	324.2	360.5
7426048	327.4	353.0
7526400	370.8	390.0
7626752	354.8	385.0
7727104	350.0	371.5
7827456	354.3	379.0
7927808	397.4	394.5
8028160	392.2	408.5
8128512	396.7	398.5
8228864	389.4	397.0
8329216	425.1	396.5
8429568	394.5	394.5
8529920	366.0	371.0
8630272	385.1	393.0
8730624	381.2	390.0
8830976	371.6	379.5
8931328	374.5	384.5
9031680	380.6	411.5
9132032	380.1	395.0
9232384	357.7	355.0
9332736	385.1	399.5
9433088	396.5	406.5
9533440	398.0	405.0
9633792	374.6	401.0
9734144	394.1	399.0
9834496	390.5	395.5
9934848	395.8	403.5
