timestep	mean	median
100352	230.0	210.0
200704	204.5	170.0
301056	240.0	185.0
401408	197.0	125.0
501760	242.0	257.5
602112	303.0	295.0
702464	193.5	160.0
802816	266.5	250.0
903168	293.0	315.0
1003520	328.5	237.5
1103872	304.5	277.5
1204224	394.5	367.5
1304576	359.0	415.0
1404928	416.5	447.5
1505280	325.5	277.5
1605632	407.5	380.0
1705984	428.0	462.5
1806336	467.0	480.0
1906688	398.0	432.5
2007040	491.5	522.5
2107392	484.5	467.5
2207744	511.5	505.0
2308096	584.0	602.5
2408448	607.0	555.0
2508800	477.0	492.5
2609152	581.0	570.0
2709504	564.0	542.5
2809856	611.5	557.5
2910208	705.0	600.0
3010560	565.5	540.0
3110912	650.0	552.5
3211264	724.5	577.5
3311616	665.0	592.5
3411968	608.5	600.0
3512320	650.0	600.0
3612672	641.0	600.0
3713024	590.5	555.0
3813376	719.5	602.5
3913728	767.0	600.0
4014080	570.5	545.0
4114432	600.0	600.0
4214784	630.0	600.0
4315136	614.0	597.5
4415488	624.0	600.0
4515840	731.0	570.0
4616192	675.0	600.0
4716544	720.0	675.0
4816896	552.5	545.0
4917248	757.0	600.0
5017600	667.0	620.0
5117952	657.0	647.5
5218304	753.0	600.0
5318656	577.5	565.0
5419008	624.0	600.0
5519360	688.5	602.5
5619712	824.5	720.0
5720064	740.5	605.0
5820416	664.5	600.0
5920768	971.5	910.0
6021120	626.0	600.0
6121472	629.0	587.5
6221824	747.5	600.0
6322176	761.5	600.0
6422528	856.0	605.0
6522880	700.0	600.0
6623232	785.5	600.0
6723584	863.5	800.0
6823936	746.0	600.0
6924288	786.5	600.0
7024640	734.0	602.5
7124992	714.0	600.0
7225344	805.0	662.5
7325696	843.5	670.0
7426048	959.0	662.5
7526400	686.0	687.5
7626752	846.5	732.5
7727104	692.5	587.5
7827456	923.5	885.0
7927808	736.5	600.0
8028160	722.5	590.0
8128512	737.0	600.0
8228864	1053.0	995.0
8329216	673.0	602.5
8429568	817.5	600.0
8529920	919.5	890.0
8630272	1134.0	1202.5
8730624	1186.0	1207.5
8830976	1223.5	1202.5
8931328	802.5	600.0
9031680	959.0	877.5
9132032	886.5	605.0
9232384	756.0	605.0
9332736	779.0	587.5
9433088	917.0	600.0
9533440	1085.0	1150.0
9633792	1008.0	1135.0
9734144	783.0	602.5
9834496	1052.5	702.5
9934848	1003.0	930.0
