timestep	mean	median
100352	30.0	0.0
200704	20.0	0.0
301056	0.0	0.0
401408	0.0	0.0
501760	0.0	0.0
602112	0.0	0.0
702464	0.0	0.0
802816	0.0	0.0
903168	0.0	0.0
1003520	0.0	0.0
1103872	60.0	0.0
1204224	20.0	0.0
1304576	30.0	0.0
1404928	0.0	0.0
1505280	0.0	0.0
1605632	0.0	0.0
1705984	0.0	0.0
1806336	0.0	0.0
1906688	0.0	0.0
2007040	30.0	0.0
2107392	40.0	0.0
2207744	60.0	0.0
2308096	0.0	0.0
2408448	0.0	0.0
2508800	60.0	0.0
2609152	0.0	0.0
2709504	0.0	0.0
2809856	0.0	0.0
2910208	0.0	0.0
3010560	0.0	0.0
3110912	0.0	0.0
3211264	0.0	0.0
3311616	190.0	0.0
3411968	0.0	0.0
3512320	0.0	0.0
3612672	0.0	0.0
3713024	230.0	0.0
3813376	0.0	0.0
3913728	0.0	0.0
4014080	0.0	0.0
4114432	0.0	0.0
4214784	490.0	0.0
4315136	360.0	0.0
4415488	350.0	0.0
4515840	0.0	0.0
4616192	150.0	0.0
4716544	610.0	600.0
4816896	430.0	0.0
4917248	860.0	700.0
5017600	1240.0	1200.0
5117952	960.0	600.0
5218304	780.0	450.0
5318656	1610.0	1400.0
5419008	1340.0	1150.0
5519360	2310.0	2250.0
5619712	1580.0	1400.0
5720064	1480.0	1300.0
5820416	1850.0	1700.0
5920768	1230.0	1050.0
6021120	2660.0	2500.0
6121472	3090.0	2850.0
6221824	3830.0	4300.0
6322176	2850.0	3100.0
6422528	2740.0	3200.0
6522880	2440.0	2450.0
6623232	2770.0	2550.0
6723584	3040.0	2750.0
6823936	3840.0	4100.0
6924288	2790.0	2900.0
7024640	3720.0	3050.0
7124992	3770.0	4050.0
7225344	3830.0	3700.0
7325696	4000.0	4050.0
7426048	4480.0	4150.0
7526400	4520.0	4300.0
7626752	3780.0	3700.0
7727104	4510.0	4300.0
7827456	3460.0	3000.0
7927808	4350.0	3950.0
8028160	4090.0	3850.0
8128512	4290.0	3850.0
8228864	4820.0	4650.0
8329216	4790.0	4250.0
8429568	5470.0	5200.0
8529920	4970.0	5300.0
8630272	3920.0	3050.0
8730624	4240.0	4300.0
8830976	5150.0	4650.0
8931328	4880.0	4850.0
9031680	4420.0	4100.0
9132032	5470.0	4850.0
9232384	5310.0	5400.0
9332736	5300.0	4500.0
9433088	5090.0	5150.0
9533440	5400.0	5300.0
9633792	4990.0	5050.0
9734144	5710.0	5800.0
9834496	5690.0	5450.0
9934848	4610.0	4600.0
