timestep	mean	median
100352	1.8	1.5
200704	3.9	3.5
301056	6.1	6.0
401408	6.2	5.0
501760	7.9	6.5
602112	10.1	10.0
702464	10.1	10.0
802816	11.6	11.0
903168	11.9	11.5
1003520	15.0	14.5
1103872	16.3	17.0
1204224	16.7	15.0
1304576	13.6	13.5
1404928	22.0	20.0
1505280	17.9	18.5
1605632	16.5	15.5
1705984	20.1	20.0
1806336	22.7	22.0
1906688	21.1	20.5
2007040	23.9	25.5
2107392	23.0	21.5
2207744	28.2	28.5
2308096	26.5	24.5
2408448	26.8	23.5
2508800	30.7	33.0
2609152	29.7	30.5
2709504	29.2	27.0
2809856	40.2	32.5
2910208	44.2	40.5
3010560	34.6	34.0
3110912	43.2	43.0
3211264	34.4	30.5
3311616	41.5	39.0
3411968	41.0	34.0
3512320	33.0	32.0
3612672	36.0	34.0
3713024	38.5	38.0
3813376	41.3	40.5
3913728	71.0	52.5
4014080	43.9	42.5
4114432	53.0	48.5
4214784	48.7	49.0
4315136	47.3	48.5
4415488	51.5	53.0
4515840	61.8	58.0
4616192	53.6	48.0
4716544	51.8	48.5
4816896	53.2	53.0
4917248	62.4	53.5
5017600	62.1	61.5
5117952	69.7	63.5
5218304	57.6	59.0
5318656	66.5	70.0
5419008	55.8	58.0
5519360	66.9	67.5
5619712	90.8	60.5
5720064	69.8	62.0
5820416	78.8	79.0
5920768	64.1	57.5
6021120	82.7	65.0
6121472	95.3	76.5
6221824	70.6	58.5
6322176	101.2	70.5
6422528	71.9	66.0
6522880	62.6	63.0
6623232	77.4	74.5
6723584	86.2	79.0
6823936	86.8	75.0
6924288	98.0	77.0
7024640	117.8	74.0
7124992	114.5	72.0
7225344	70.0	70.5
7325696	132.8	83.5
7426048	120.8	87.5
7526400	115.8	73.5
7626752	76.1	70.5
7727104	104.3	101.5
7827456	118.2	104.5
7927808	94.2	89.5
8028160	147.4	113.5
8128512	128.7	114.5
8228864	120.2	108.5
8329216	165.6	171.0
8429568	101.7	95.0
8529920	123.5	92.0
8630272	131.3	116.5
8730624	112.9	100.0
8830976	124.7	105.5
8931328	136.8	129.5
9031680	122.9	86.0
9132032	210.6	247.0
9232384	158.0	145.0
9332736	131.8	108.5
9433088	173.4	148.5
9533440	127.7	116.0
9633792	162.9	137.0
9734144	107.8	103.0
9834496	130.3	100.5
9934848	138.8	111.5
